iter	Passed	Remaining
0	195	499753
1	241	309184
2	290	247428
3	337	215571
4	384	196538
5	434	184735
6	481	175389
7	527	168064
8	573	162587
9	621	158503
10	670	155421
11	714	151684
12	759	148744
13	802	145961
14	842	142907
15	888	141238
16	933	139554
17	978	138185
18	1026	137270
19	1076	136647
20	1125	135983
21	1170	134970
22	1215	134043
23	1261	133244
24	1305	132339
25	1350	131530
26	1393	130672
27	1434	129686
28	1480	129131
29	1527	128737
30	1563	127496
31	1609	127121
32	1653	126596
33	1695	125922
34	1739	125449
35	1783	124972
36	1827	124553
37	1869	124037
38	1915	123739
39	1960	123467
40	2005	123178
41	2047	122681
42	2087	122148
43	2135	122037
44	2185	122076
45	2234	122067
46	2279	121842
47	2324	121599
48	2370	121450
49	2416	121283
50	2462	121102
51	2506	120824
52	2551	120628
53	2592	120284
54	2638	120110
55	2682	119889
56	2723	119543
57	2768	119371
58	2808	119024
59	2855	118940
60	2901	118817
61	2945	118630
62	2992	118557
63	3036	118381
64	3084	118350
65	3127	118142
66	3166	117765
67	3210	117597
68	3250	117302
69	3291	117048
70	3331	116743
71	3372	116487
72	3412	116221
73	3452	115944
74	3493	115702
75	3533	115447
76	3573	115191
77	3617	115072
78	3660	114913
79	3702	114728
80	3741	114473
81	3784	114307
82	3823	114065
83	3864	113855
84	3905	113672
85	3945	113468
86	3983	113189
87	4024	112995
88	4061	112716
89	4100	112500
90	4140	112291
91	4180	112107
92	4221	111930
93	4258	111684
94	4299	111523
95	4339	111337
96	4379	111153
97	4429	111225
98	4467	111019
99	4509	110880
100	4549	110720
101	4588	110523
102	4625	110304
103	4664	110111
104	4705	109970
105	4746	109843
106	4787	109708
107	4824	109494
108	4863	109327
109	4901	109133
110	4940	108965
111	4988	108988
112	5028	108853
113	5067	108687
114	5105	108504
115	5146	108388
116	5182	108161
117	5224	108067
118	5266	107990
119	5306	107854
120	5347	107749
121	5393	107744
122	5432	107585
123	5473	107486
124	5511	107317
125	5548	107133
126	5590	107063
127	5633	106997
128	5677	106940
129	5717	106826
130	5756	106688
131	5794	106542
132	5837	106471
133	5877	106358
134	5917	106251
135	5955	106111
136	5994	105972
137	6032	105837
138	6069	105676
